sample_id	Intrahepatic.cholangiocyte	NK.Cell	Monocyte	Macrophage	Secretory.cell	Respiratory.ciliated.cell	Ionocyte.luminal.epithelial.cell.of.mammary.gland	Fibroblast.mesenchymal.stem.cell	Respiratory.secretory.cell	Mast.cell	Basal.cell	Endothelial.cell	neutrophil	B.cell	T.Cell	Erythrocyte.erythroid.progenitor	Platelet	Basophil	Stromal.cell	Mature.conventional.dendritic.cell	Adventitial.cell	Gland.cell	Salivary.bronchial.secretory.cell	Pericyte.cell	Myeloid.progenitor	Pancreatic.Stellate.cell	Pancreatic.alpha.beta.cell	Basal.prostate.cell	Prostate.epithelia	Salivary.gland.cell	Intestinal.enterocyte	Intestinal.secretory.cell	Intestinal.tuft.cell	Type.II.Pneumocyte	Cell.of.skeletal.muscle	Schwann.cell	Tendon.cell	Mesothelial.cell	Plasmablast	Kidney.epithelial.cell	Thymocyte
GHL105_combined	2.63170365647742e-05	0.236022064667179	0.335019108523296	0.000105338347041542	2.99404051996598e-05	2.98892698618359e-05	4.93730831296288e-05	3.03710356511345e-05	1.08253494307541e-05	9.65980890860583e-05	1.88432361915065e-05	0.0454696998548526	0.0318800755226604	0.147207502776147	0.000293308835461804	0.00958013808698044	0.114469193865115	0.000116298030142359	2.42920489959892e-05	0.00102448984762447	2.28918107582824e-05	1.51213006531328e-05	1.58489456357898e-05	4.5054578959609e-05	0.0658299362419601	3.60069925705747e-05	1.70613007786002e-05	2.25959218523674e-05	2.85030532972203e-05	2.49938957836172e-05	2.80378688465355e-05	2.68876340652946e-05	0.00024942930892196	3.07976004425101e-05	0.00309496347840356	0.00430500864140778	3.0209763947976e-05	6.49264813553156e-05	0.000134976600007335	6.84984677050653e-05	0.00440458220203491
GHL107_combined	0.0101473342480799	0.12282267501171	0.0365929575867956	0.00036128405713576	0.000197984232669981	0.00205389155532806	9.30912309516082e-05	0.000131148486992794	5.65451062927279e-05	0.000206608709626418	9.22957122499423e-05	0.128367676387413	0.0793006386316427	0.171162135903765	0.000549023289867947	0.00802010045980949	0.134210718875894	0.000234932165605153	0.00010911952815533	0.00140362006757957	0.000117910563363048	6.73390186180162e-05	6.38896232330972e-05	0.000151215098434164	0.259079458361214	0.000107701805680148	0.000766419676569944	0.000114482217207222	0.000114276529912956	0.000122520422985147	0.000116372368392274	8.84499623638867e-05	0.0246760809457481	0.000225663304044386	0.00763658658829915	0.00678101045024131	0.000189781636358001	0.000175868667540874	0.000226852458490449	0.00172576119322512	0.00133857786051452
GHL108_combined	0.000643897489845115	0.0997192376218553	0.179802569239583	0.00104791540328414	2.73233987028223e-05	0.00154008949385177	3.59043864638885e-05	4.16283249605699e-05	1.05126380865279e-05	5.56948318461656e-05	4.0510316763542e-05	0.152533923911898	0.0271885047967218	0.0871416210539456	0.000160960181819467	0.000326263107461461	0.247357325394564	0.000115965232824935	2.58900813829512e-05	0.00969731363846131	3.58579066730518e-05	1.68039074202315e-05	1.96826298817829e-05	4.35739349926206e-05	0.160600326284795	3.44529922394596e-05	0.000514443296143112	3.43422729396341e-05	3.30204826108357e-05	3.81502239614364e-05	3.84700297547347e-05	2.10493112224842e-05	0.0243234506925376	3.05270225531123e-05	0.00320915513355714	0.000575458960548798	4.96643542852118e-05	0.000100834029067412	8.73108152745004e-05	0.00142310470243574	0.0012572704727844
GHL109_combined	0.0057691941005547	0.0483239217972527	0.111045247923035	8.06479083639109e-05	1.99953205707301e-05	0.000281722254560395	3.88339539934121e-05	3.48282294437324e-05	9.42758704045052e-06	9.71539027028488e-05	2.52050930230747e-05	0.102616839223245	0.142944165775385	0.0431225042236224	0.000186489625042472	0.0186087400714708	0.178636172817624	7.6222545302031e-05	2.7903123057025e-05	0.00944501230770984	1.85236916921151e-05	1.31016067698702e-05	1.63814448964005e-05	3.62147609246098e-05	0.315725535068047	2.61960383795389e-05	1.62887978879745e-05	2.19785561784144e-05	3.22329562268656e-05	4.92387219405899e-05	2.9117435765456e-05	1.8981261619832e-05	0.0130753507113563	0.000286542434923161	0.00877533645581738	4.6876466651885e-05	7.66816639816126e-05	5.89709748868e-05	9.19484859196194e-05	0.000130064477552843	6.4210205583254e-05
GHL112_combined	0.0034304784409704	0.164585210222262	0.146846515302613	0.000111535210157541	3.87047088185757e-05	0.0046620874781303	0.00035059542902276	5.10248737229006e-05	1.36982197445556e-05	0.000303296750693775	0.000122544971803992	0.114913055372203	0.0490118194081818	0.0958742324100283	0.000502263890637522	0.0181198212505677	0.144473409123264	0.000230815322188692	4.13471355122032e-05	0.0235713343725383	4.76080392442189e-05	1.83850174521098e-05	1.71581944836356e-05	6.02126498667031e-05	0.186115401302969	5.27042897582861e-05	0.00128192633968367	3.31414133558174e-05	3.95496458176169e-05	4.02995916195656e-05	0.000165696765431194	9.44730907026551e-05	0.0291100261119382	0.000300418825965162	0.00340627869182147	0.00581710903419853	7.70256726361075e-05	0.000275203385868869	0.000116851237180963	0.00333512120635498	0.00234161960059004
GHL119_combined	0.000100385986558793	0.0559293239086328	0.113206132266042	5.64105136369063e-05	2.12500788187784e-05	0.00165282618011452	3.57942587039843e-05	7.78120601016119e-05	8.35653609077677e-06	7.71450275467887e-05	9.12210487691841e-05	0.163315425636321	6.33165772791006e-05	0.217521572586921	0.0162035435986234	0.0277416120256429	0.16843871624982	0.000102849920008935	2.79361682155904e-05	0.00394649763472418	0.0127598597515484	1.28274827702745e-05	1.23929833952977e-05	9.04165707022618e-05	0.161460727361123	3.60442653718204e-05	0.000129428508030877	2.26641567177522e-05	3.53681429954862e-05	2.96631297641784e-05	5.19948607080338e-05	2.03099326484434e-05	0.0081058923290291	2.88751321528012e-05	0.00551367416622457	0.0218020935876175	3.67893376646756e-05	8.75445546440858e-05	5.95419384494869e-05	0.00205201482962203	0.0190337487162469
GHL121_combined	0.000231501632826601	0.167685582075395	0.294980064868297	0.000132763550638674	3.65555103551798e-05	0.000787102903772059	8.42890774727886e-05	6.1121542094472e-05	2.20583982473364e-05	0.0001487283830654	5.47287412492141e-05	0.0968500205897384	0.0722527630802993	0.0408451429626787	0.000220413932133732	0.000307805495852955	0.0510851451166029	0.00014380955104484	4.09830511939534e-05	0.0191844254365884	4.42278464897215e-05	2.32250647964763e-05	2.77208663616093e-05	7.86316360995389e-05	0.224152330917822	5.85864349463856e-05	0.000301367148029102	3.69822253830207e-05	0.000102145484225777	6.79651006195839e-05	8.21077965756738e-05	6.19574149099604e-05	0.0186678614110741	6.67453367194142e-05	0.00593869527198619	0.00302902911808131	7.51218345114525e-05	0.000108877459017225	0.000154447303747683	0.00157759141775053	0.000189377011305911
GHL123_combined	4.82429951188792e-05	0.180442307057572	0.125927101570163	0.000162967470672815	4.84328672098339e-05	0.000978172695730155	0.000168681991511148	5.73419004539168e-05	2.72463627433411e-05	0.000346014502438379	4.93941588383098e-05	0.179216534763256	0.000397618795726099	0.14648128012448	0.000827666828933387	0.0176620079977503	0.141997501129921	0.000116749675442282	6.09481003038902e-05	0.0167059892944988	7.52604132925226e-05	3.09603053969832e-05	2.98805825538408e-05	0.000106357013193217	0.167475890853111	6.00042780101984e-05	0.000161739550548579	5.23683636368217e-05	6.19090229519707e-05	6.32229875809006e-05	6.61488888778354e-05	4.33949649829509e-05	0.00387742902306924	6.9076294290243e-05	0.00015333093680458	0.0121628192036969	7.3097416963509e-05	0.000314355533298246	0.00012984032871893	8.92809308292508e-05	0.0031814328254281
GHL124_combined	0.00183344347157332	0.0319053272895358	0.0738611360862053	9.77160776326416e-05	2.95353416849119e-05	0.000627194867396181	5.30479512425514e-05	4.55450141575185e-05	1.12285043195131e-05	9.42610088621826e-05	2.73483251157323e-05	0.256990562356029	0.00371652715154416	0.209585600866483	0.0209468599309855	0.0513944706316405	0.0979696872110583	0.000106905872371083	3.01747688759442e-05	0.0158514475678879	3.77868137391282e-05	1.85119214198113e-05	1.66585392196265e-05	6.18996731294583e-05	0.203415516916602	4.97770186285492e-05	6.24041384871479e-05	2.50284344586375e-05	3.85999113158293e-05	3.18571460144142e-05	4.95024515447203e-05	2.70565225434806e-05	0.0171425313957028	3.60631117056597e-05	9.57641462137044e-05	0.00662960040320683	3.5167673832991e-05	0.000245784994639501	7.82167418114355e-05	0.000501998181709726	0.00622225356947471
GHL126_combined	0.0110573213390558	0.128881615924383	0.171633565105285	0.00423396335923377	1.72112054392061e-05	0.000481364327824977	8.06364944015317e-05	3.60601129628643e-05	7.5665616633977e-06	0.000109884037724396	1.54069436435445e-05	0.1387622898739	0.0619416776731236	0.108350388600259	0.000162232362020559	0.00246312800020139	0.0969769037961132	0.000198782774581796	2.45898380016961e-05	0.016350420633951	2.08718143860535e-05	1.17089921906177e-05	1.21131683477192e-05	4.72427967010084e-05	0.237754775230022	3.36718254566139e-05	0.000116517928656723	1.87200133104824e-05	2.76408965441684e-05	7.39197130772424e-05	1.7900958659005e-05	2.034930532834e-05	0.00805219609862294	5.72332798992962e-05	5.91445402602851e-05	0.00902783992227474	2.36171221846167e-05	3.51405586800136e-05	8.82866935772264e-05	0.00157717857422228	0.00113892160382947
