"sample_id"	"Intrahepatic.cholangiocyte"	"NK.Cell"	"Monocyte"	"Macrophage"	"Secretory.cell"	"Respiratory.ciliated.cell"	"Ionocyte.luminal.epithelial.cell.of.mammary.gland"	"Fibroblast.mesenchymal.stem.cell"	"Respiratory.secretory.cell"	"Mast.cell"	"Basal.cell"	"Endothelial.cell"	"neutrophil"	"B.cell"	"T.Cell"	"Erythrocyte.erythroid.progenitor"	"Platelet"	"Basophil"	"Stromal.cell"	"Mature.conventional.dendritic.cell"	"Adventitial.cell"	"Gland.cell"	"Salivary.bronchial.secretory.cell"	"Pericyte.cell"	"Myeloid.progenitor"	"Pancreatic.Stellate.cell"	"Pancreatic.alpha.beta.cell"	"Basal.prostate.cell"	"Prostate.epithelia"	"Salivary.gland.cell"	"Intestinal.enterocyte"	"Intestinal.secretory.cell"	"Intestinal.tuft.cell"	"Type.II.Pneumocyte"	"Cell.of.skeletal.muscle"	"Schwann.cell"	"Tendon.cell"	"Mesothelial.cell"	"Plasmablast"	"Kidney.epithelial.cell"	"Thymocyte"
"TBSQUARE_WBRNA_554"	5.36297832547931e-06	0.0335632552894523	0.0621943481599962	2.72441597347801e-05	6.12149913347677e-06	3.02785431477772e-05	1.05137316852507e-05	1.19068970230915e-05	3.58140011834262e-06	2.1407848364636e-05	5.41674572770607e-06	0.00137492357822046	0.301932821854611	0.170661152076434	0.143038711216482	2.32145201763754e-05	0.128326527114462	2.36699690054806e-05	9.24459638640236e-06	5.56514984351199e-05	7.09680056541041e-06	3.45685474174615e-06	4.24160108034512e-06	9.06147370489882e-06	0.127692837668218	7.88721353675472e-06	4.94887148096256e-06	9.78079596645314e-06	6.8438454009004e-06	7.50293399506971e-06	0.00469838524511512	6.10318727015194e-06	0.00949214051376793	0.000207972162522903	1.0776550028641e-05	1.03848596919892e-05	1.04257941742507e-05	4.2868269785886e-05	3.15765946685665e-05	1.69011558733546e-05	0.0163934539314894
"TBSQUARE_WBRNA_555"	4.06857435651324e-06	0.128743976193446	0.0529636463332721	1.73435322623339e-05	4.61280199916066e-06	4.40834713110673e-06	8.99846095370753e-06	5.98493621454345e-06	3.16209376112424e-06	2.64863812372703e-05	3.26837490935782e-06	0.00453077698444019	0.38674048959107	0.0901791658279673	0.09100224503924	3.30313346621366e-05	0.112639052819818	1.3486899026941e-05	7.40634704296872e-06	2.09113624177293e-05	5.55628948681262e-06	3.56770417577861e-06	3.54020967273707e-06	5.68139091526222e-06	0.11861813019435	7.39247863210221e-06	4.24186863787986e-06	4.7726811537326e-06	7.26857253572105e-06	5.55372628488486e-06	0.00868977466320049	4.70369280451481e-06	0.0052643162501558	1.36482438288557e-05	1.58599338646586e-05	1.00165501133787e-05	5.42309790600213e-06	0.000297615295377551	3.99165007551069e-05	8.83114457174758e-06	3.1667276347767e-05
"TBSQUARE_WBRNA_557"	4.96410578282471e-06	5.03129001412376e-05	0.095822739789668	2.16790966722614e-05	3.71009473516237e-06	2.66930345833647e-05	7.39795992148566e-06	9.96839569475638e-06	2.70508981343953e-06	1.71734173311816e-05	4.67705996170982e-06	1.95232709177216e-05	0.142509467102767	0.114251068070909	0.0732945826184428	0.00764080045059522	0.260107647758219	1.99757987984161e-05	7.8618404546091e-06	2.65708040256822e-05	5.47270443672515e-06	3.70853492841544e-06	3.5421626918766e-06	7.21005393901455e-06	0.268117608064806	8.7549927444458e-06	2.11161092672802e-05	6.38355674627399e-06	7.70062192419008e-06	6.12364215312275e-06	0.0186701591989254	4.06684092115693e-06	2.01358615416038e-05	6.85280009950538e-06	0.00221816877868334	0.0001276608102731	6.03113987482242e-06	6.97148467410876e-05	2.04210991968217e-05	0.000922392466736622	0.015897257053935
"TBSQUARE_WBRNA_564"	1.50303296629258e-05	0.168589559062181	0.059294633795754	3.0553710075204e-05	1.3118784138163e-05	0.000405538569063891	3.17143511867939e-05	3.05090271183247e-05	6.71542489025673e-06	4.36545723599642e-05	2.62575268855455e-05	0.00243714972051262	0.158898989590912	0.182074216712423	0.0611012335744781	3.61901076026385e-05	0.187691873756725	5.73293395575682e-05	1.40598681995865e-05	8.34884542511777e-05	1.79752435534293e-05	8.96004730003611e-06	8.21032441508021e-06	2.58326116950909e-05	0.148643855717376	1.84394266657484e-05	7.14560722708213e-05	1.69146853987871e-05	9.25249106518659e-05	2.51928155199542e-05	0.0110369143317028	2.13106912876404e-05	0.00384372235653706	7.40527550179183e-05	2.9221997272571e-05	9.74178391425018e-05	2.0190704011271e-05	3.8066057287262e-05	5.5245525064152e-05	0.00201514163134735	0.0129575379785052
"TBSQUARE_WBRNA_568"	7.0774274474097e-05	0.0512588899821428	0.00885488441273504	0.00015510707408924	7.31552719488022e-05	7.85935787221178e-05	0.000107368012655613	0.000107926269306293	4.79322225040326e-05	0.000137163301056994	7.16804673129645e-05	0.000174189427174731	0.736624443776944	0.0510446008162061	0.000307078918159677	9.13250608378332e-05	0.0162131689959636	0.000201779431738648	9.78950456255722e-05	0.000174085688392866	0.000130397027228953	6.04160570223954e-05	6.47446396429795e-05	7.65765393479202e-05	0.126166249396982	0.000111149311546743	6.85784694892092e-05	9.39067050447948e-05	9.82712287976907e-05	9.40515503199645e-05	0.000111664949592482	8.47251873737087e-05	0.00067780059493181	9.92173698608903e-05	9.6948911500265e-05	0.000108123110805095	9.62035607096563e-05	0.000142157916521125	0.000109359871220399	0.0013474619006924	0.00426995367337843
"TBSQUARE_WBRNA_569"	1.97657520618826e-05	0.214211350554129	0.0379014051612396	4.68452099189492e-05	1.89811599216172e-05	7.32656859500503e-05	2.50556636670682e-05	2.01147605917774e-05	1.00822146697221e-05	4.50131773925725e-05	1.111189404363e-05	0.000557509862818123	0.378209060279405	0.0980532335468962	0.0747450580861806	6.70150103362198e-05	0.149446574290216	5.23074212342274e-05	2.14276648698617e-05	0.000777200970138938	1.37056626127963e-05	1.16598877698046e-05	1.37548221873416e-05	1.90905887846016e-05	0.0407057368567076	2.55827499755241e-05	1.57459446267074e-05	1.66094557469444e-05	1.98513190886676e-05	1.87717268931286e-05	0.0028359001359378	1.40758121338709e-05	0.00020735996501784	0.000864505030266081	3.24519154807179e-05	2.4419375690133e-05	2.0725339377164e-05	0.000107932863954066	3.52165041795539e-05	0.000600357598159804	8.41680797290002e-05
"TBSQUARE_WBRNA_570"	3.8387210678648e-06	0.119483040248884	0.153695653092992	1.59310879908872e-05	3.94263992298892e-06	7.08079394930707e-06	5.78015930644055e-06	4.60024435569136e-06	2.13797289406762e-06	1.75168165308832e-05	5.91570143464312e-06	0.00035226319482153	0.280415881140099	0.091376185367991	0.0728638410005837	0.0148262810408067	0.175913133802374	2.46993566120062e-05	4.86606398230787e-06	2.14321023107558e-05	4.28674668900505e-06	3.58737588282913e-06	2.77788865766065e-06	5.31166693725086e-06	0.0807407578154109	5.73044429596699e-06	1.07711435031287e-05	6.31550407155899e-06	1.21076603095217e-05	7.1407236656398e-06	0.00560647726836849	3.99690903419162e-06	0.00435476189897828	1.4043407683881e-05	1.00344796721379e-05	8.96047914308749e-06	5.94673308252433e-06	9.21060209460887e-05	2.40174582922107e-05	1.35083256632221e-05	2.33395008014554e-05
"TBSQUARE_WBRNA_572"	1.76251383558294e-05	0.0504702359555906	0.100359204718778	3.69685619671602e-05	1.48850200089958e-05	1.93872449055369e-05	2.78539727384787e-05	2.14470632619009e-05	9.35721731832233e-06	7.44653808755462e-05	2.28752726961347e-05	0.00273506915164044	0.164091780121889	0.135294536676966	0.144505788263854	0.020745346829052	0.201678300896448	5.44044786872635e-05	3.15981419955767e-05	4.56529791457316e-05	2.12720803927088e-05	1.36307155798427e-05	1.16705167682203e-05	2.55700577297379e-05	0.166731249343553	1.84784400269581e-05	1.37016496077891e-05	1.86418464829103e-05	3.28411392130357e-05	2.15395233899862e-05	0.000410393886981407	1.66452530174799e-05	0.000446513354737864	3.2077075438895e-05	4.27267004904883e-05	2.68904633246946e-05	2.468480503412e-05	0.000169440983632729	5.59330052686514e-05	0.0051986036595828	0.00641071241357279
"TBSQUARE_WBRNA_573"	2.14434009884576e-05	0.055063257957166	0.0749149384487262	5.87877503961125e-05	1.78277792905059e-05	2.72081941370613e-05	3.43468666736008e-05	2.25342603506116e-05	1.06100818773019e-05	7.15826982231675e-05	1.38143749898764e-05	8.88794307193997e-05	0.231490350265478	0.155891153374574	0.142142751235393	0.0704805809523434	0.166859092632355	5.82294727965149e-05	2.19312515802308e-05	5.53719821193374e-05	2.16011402356591e-05	1.27870735870258e-05	1.37327977172521e-05	2.34841700683307e-05	0.101823698434266	2.47552935111819e-05	1.54841801933505e-05	2.85913695565609e-05	2.35161954069035e-05	1.82380538478804e-05	3.5663053004896e-05	1.63566695590122e-05	7.36582065971361e-05	2.64737996581373e-05	4.66036771818522e-05	3.3866410349598e-05	2.39329977128568e-05	0.000209633359918585	6.35153616298115e-05	4.29436107320355e-05	7.67717350875168e-05
"TBSQUARE_WBRNA_577"	6.93102983765737e-06	0.0669358804591811	0.0218420350820304	2.91114785427196e-05	6.13490091381017e-06	0.000173503998469624	1.83083397999993e-05	9.79379647542777e-06	3.80566494896683e-06	2.2768524332658e-05	6.56617691366826e-06	0.000103919514995255	0.0965594337600461	0.152341699533151	0.151408526875866	0.00294057694257945	0.192851296246848	4.59943465319393e-05	1.20212858742382e-05	7.61261287950202e-05	7.85264316644699e-06	5.15974644403122e-06	5.20157873951377e-06	1.00419805442335e-05	0.26736185697097	1.15560440808499e-05	7.65738609095278e-05	9.16605008073998e-06	1.07779105407614e-05	1.00919074587804e-05	0.00610084088422067	9.4101825133567e-06	0.00080301531139461	1.5675588508781e-05	1.40920482818353e-05	1.55631373894825e-05	1.79480305563233e-05	0.000207045111134166	3.14098475192525e-05	0.0072127303558901	0.0326695567235239
