Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Pyroptosis Signaling Pathway	7.76E00	1.22E-01	2.111	AIM2,CASP1,CASP4,CASP5,GAS5,GBP1,GBP2,GBP4,GBP5,GBP7,PRKAR1B	
EIF2 Signaling	6.29E00	6.6E-02	-1.897	CCND1,EIF5B,RALB,RPL11,RPL30,RPL37,RPL37A,RPL38,RPS12,RPS20,RPS27,RPS29,SHC1,WARS1	
IGF-1 Signaling	6.08E00	9.52E-02	1.890	IGFBP5,JAK2,PRKAR1B,RALB,SHC1,SOCS3,SOCS4,STAT3,YWHAG,YWHAH	
Oncostatin M Signaling	6E00	1.63E-01	2.449	EPAS1,JAK2,MT2A,RALB,SHC1,STAT1,STAT3	
Acute Phase Response Signaling	5.41E00	6.52E-02	1.667	ALB,C1QA,C1QB,JAK2,MAP3K1,RALB,SERPING1,SHC1,SOCS3,SOCS4,SOD2,STAT3	
Ephrin Receptor Signaling	5.02E00	5.97E-02	2.828	CFL1,EPHA1,GNA15,GRIN3A,ITGA2B,ITGB5,JAK2,LIMK2,MAP4K4,RALB,SHC1,STAT3	
Glycolysis I	4.98E00	2.08E-01	2.236	ENO1,GAPDH,GPI,PKM,TPI1	
Multiple Sclerosis Signaling Pathway	4.83E00	5.71E-02	2.887	C1QA,C1QB,CAPN1,CASP1,GAS5,GRIN3A,IRF1,MPO,PARP14,STAT1,TNFSF10,TNFSF13B	
Macrophage Classical Activation Signaling Pathway	4.74E00	6.11E-02	2.111	GBP2,GBP4,IRF1,JAK2,PARP14,PKM,SOCS3,STAT1,STAT3,TNFSF10,TNFSF13B	
Prolactin Signaling	4.58E00	8.42E-02	2.121	IRF1,JAK2,RALB,SHC1,SOCS3,SOCS4,STAT1,STAT3	
GM-CSF Signaling	4.56E00	1E-01	1.890	CCND1,ETS1,JAK2,RALB,SHC1,STAT1,STAT3	
Role of PKR in Interferon Induction and Antiviral Response	4.35E00	6.82E-02	2.646	CASP1,CASP5,E2F1,FCGR1A,IRF1,MARCO,NPM1,STAT1,STAT3	
Role of JAK family kinases in IL-6-type Cytokine Signaling	4.29E00	9.09E-02	1.134	CCND1,IRF1,JAK2,SOCS3,STAT1,STAT3,TIMP1	
Sertoli Cell-Sertoli Cell Junction Signaling	4.28E00	5.45E-02	NaN	ILK,ITGA2B,ITGB5,MAP3K1,MAP3K13,PRKAR1B,RALB,SPTAN1,SPTBN1,TJP2,TUBA1B	
JAK/STAT Signaling	4.11E00	8.54E-02	1.890	JAK2,RALB,SHC1,SOCS3,SOCS4,STAT1,STAT3	
Interferon Signaling	4.08E00	1.39E-01	2.236	IFIT3,IFITM3,IRF1,JAK2,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	4.06E00	1.03E-01	0.816	CCND1,JAK2,SHC1,SOCS3,STAT1,STAT3	
Coronavirus Pathogenesis Pathway	3.75E00	5.15E-02	1.265	CASP1,CCND1,E2F1,NPM1,RPS12,RPS20,RPS27,RPS29,STAT1,STAT3	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.71E00	8.96E-02	NaN	JAK2,RALB,SHC1,SOCS3,STAT1,STAT3	
Pentose Phosphate Pathway	3.66E00	3E-01	NaN	G6PD,PGD,TALDO1	
HGF Signaling	3.6E00	6.11E-02	0.447	CCND1,ETS1,ITGA2B,ITGB5,MAP3K1,MAP3K13,RALB,STAT3	
DNA damage-induced 14-3-3σ Signaling	3.57E00	1.09E-01	1.342	ATM,CASP1,CASP4,CASP5,E2F1	
ERK/MAPK Signaling	3.39E00	4.65E-02	1.633	ETS1,ITGA2B,ITGB5,PRKAR1B,RALB,SHC1,STAT1,STAT3,YWHAG,YWHAH	
Ascorbate Recycling (Cytosolic)	3.33E00	6.67E-01	NaN	GLRX,GSTO1	
Neutrophil Extracellular Trap Signaling Pathway	3.29E00	3.54E-02	1.069	C1QA,C1QB,CASP1,CASP4,CASP5,CTSG,DEFA4,ELANE,FCGR3A/FCGR3B,MPO,ORAI2,PRTN3,SERPINB1,SLC2A1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.19E00	4.79E-02	1.414	ALB,CLU,IRF1,JAK2,MAP3K1,MAP3K13,MPO,S100A8,STAT1	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	3.13E00	4.69E-02	1.000	ETS1,JAK2,MAP3K1,RALB,SHC1,STAT3,TNFSF10,TNFSF13B,ZEB1	
PDGF Signaling	3.1E00	6.9E-02	1.633	JAK2,MAP3K1,RALB,SHC1,STAT1,STAT3	
Renin-Angiotensin Signaling	3.07E00	5.79E-02	1.342	JAK2,MAP3K1,PRKAR1B,RALB,SHC1,STAT1,STAT3	
PI3K/AKT Signaling	3.03E00	4.55E-02	1.890	CCND1,ILK,ITGA2B,ITGB5,JAK2,RALB,SHC1,YWHAG,YWHAH	
Pentose Phosphate Pathway (Oxidative Branch)	3.03E00	5E-01	NaN	G6PD,PGD	
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.02E00	5E-02	2.646	DDX6,PRKAR1B,PSMB9,PSME2,TNFSF10,TNFSF13B,YWHAG,YWHAH	
Thrombopoietin Signaling	2.93E00	7.94E-02	2.236	JAK2,RALB,SHC1,STAT1,STAT3	
Germ Cell-Sertoli Cell Junction Signaling	2.91E00	4.82E-02	NaN	CFL1,ILK,LIMK2,MAP3K1,MAP3K13,RALB,TUBA1B,ZYX	
IL-6 Signaling	2.91E00	5.43E-02	1.134	JAK2,MAP4K4,RALB,SHC1,SOCS3,STAT3,TNFAIP6	
Regulation of eIF4 and p70S6K Signaling	2.75E00	4.55E-02	NaN	ITGA2B,ITGB5,RALB,RPS12,RPS20,RPS27,RPS29,SHC1	
Hereditary Breast Cancer Signaling	2.72E00	5.04E-02	NaN	ATM,CCND1,E2F1,GADD45B,NPM1,RALB,SMARCD3	
Inflammasome pathway	2.72E00	1.5E-01	NaN	AIM2,CASP1,CASP5	
Gαi Signaling	2.7E00	5E-02	1.633	GNA15,LTB4R,P2RY14,PRKAR1B,RALB,SHC1,STAT3	
Growth Hormone Signaling	2.7E00	7.04E-02	1.342	JAK2,SOCS3,SOCS4,STAT1,STAT3	
TREM1 Signaling	2.67E00	6.94E-02	2.236	CASP1,CASP5,JAK2,MPO,STAT3	
PPARα/RXRα Activation	2.65E00	4.37E-02	-1.134	GK,GNA15,ITGB5,JAK2,MAP4K4,PRKAR1B,RALB,SHC1	
Osteoarthritis Pathway	2.56E00	3.88E-02	1.342	CASP1,CASP4,CASP5,EPAS1,H19,ITGA2B,ITGB5,S100A8,S100A9	
Vitamin-C Transport	2.54E00	1.3E-01	NaN	GLRX,GSTO1,SLC2A1	
PTEN Signaling	2.52E00	4.64E-02	-1.342	CCND1,ILK,ITGA2B,ITGB5,RALB,SHC1,YWHAH	
Airway Pathology in Chronic Obstructive Pulmonary Disease	2.52E00	5.31E-02	NaN	CTSG,ELANE,MPO,PRTN3,TNFSF10,TNFSF13B	
Natural Killer Cell Signaling	2.51E00	4.15E-02	1.414	CFL1,FCGR3A/FCGR3B,JAK2,LIMK2,MAP3K1,MAP3K13,RALB,TNFSF10	
IL-3 Signaling	2.5E00	6.33E-02	2.236	JAK2,RALB,SHC1,STAT1,STAT3	
IL-22 Signaling	2.49E00	1.25E-01	NaN	SOCS3,STAT1,STAT3	
MSP-RON Signaling In Macrophages Pathway	2.46E00	5.17E-02	0.816	JAK2,RALB,SBNO2,SOCS3,STAT1,STAT3	
PAK Signaling	2.44E00	5.13E-02	NaN	CFL1,ITGA2B,ITGB5,LIMK2,RALB,SHC1	
Th1 Pathway	2.44E00	5.13E-02	0.816	CD274,IRF1,JAK2,SOCS3,STAT1,STAT3	
Gluconeogenesis I	2.44E00	1.2E-01	NaN	ENO1,GAPDH,GPI	
Pathogen Induced Cytokine Storm Signaling Pathway	2.4E00	3.24E-02	2.111	AIM2,CASP1,IRF1,JAK2,SLC2A1,SOCS3,STAT1,STAT3,STX11,TNFSF10,TNFSF13B	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.39E00	1.15E-01	NaN	JAK2,STAT1,STAT3	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.32E00	2.88E-02	2.309	CCND1,IFIT2,IFIT3,IGHV3-53,JAK2,MAP4K4,PIK3AP1,RALB,SHC1,STAT1,STAT3,TNFSF10,TNFSF13B	
Regulation of Cellular Mechanics by Calpain Protease	2.3E00	5.68E-02	NaN	CAPN1,CCND1,ITGA2B,ITGB5,RALB	
CNTF Signaling	2.27E00	7.14E-02	2.000	JAK2,RALB,STAT1,STAT3	
EGF Signaling	2.27E00	7.14E-02	1.000	MAP3K1,SHC1,STAT1,STAT3	
SPINK1 General Cancer Pathway	2.14E00	6.56E-02	1.000	JAK2,MT2A,RALB,STAT3	
Tumor Microenvironment Pathway	2.13E00	3.93E-02	1.134	CCND1,CD274,JAK2,PDCD1LG2,RALB,SLC2A1,STAT3	
RAC Signaling	2.11E00	4.38E-02	1.000	CFL1,ITGA2B,ITGB5,LIMK2,MAP3K1,RALB	
p53 Signaling	2.1E00	5.1E-02	NaN	ATM,CCND1,E2F1,GADD45B,ST13	
MSP-RON Signaling In Cancer Cells Pathway	2.08E00	4.32E-02	0.816	CCND1,ETS1,RALB,STAT3,YWHAG,YWHAH	
ERB2-ERBB3 Signaling	2.07E00	6.25E-02	1.000	CCND1,RALB,SHC1,STAT3	
IL-9 Signaling	2.02E00	8.57E-02	NaN	SOCS3,STAT1,STAT3	
Cell Cycle: G1/S Checkpoint Regulation	2E00	5.97E-02	-1.000	ATM,CCND1,E2F1,RPL11	
Sirtuin Signaling Pathway	1.99E00	3.16E-02	0.000	E2F1,EPAS1,G6PD,GADD45B,PFKFB3,SLC2A1,SOD2,STAT3,TUBA1B	
Complement System	1.99E00	8.33E-02	NaN	C1QA,C1QB,SERPING1	
Cell Cycle Regulation by BTG Family Proteins	1.92E00	7.89E-02	NaN	BTG1,CCND1,E2F1	
IL-10 Signaling	1.91E00	3.97E-02	1.633	CCND1,MAP4K4,PKM,SOCS3,STAT1,STAT3	
Melatonin Degradation III	1.9E00	1E00	NaN	MPO	
Role of IL-17A in Psoriasis	1.89E00	1.43E-01	NaN	S100A8,S100A9	
IL-7 Signaling Pathway	1.87E00	5.48E-02	0.000	CCND1,SHC1,SLC2A1,STAT1	
Hypoxia Signaling in the Cardiovascular System	1.85E00	5.41E-02	NaN	ATM,UBE2J1,UBE2L6,UBE2T	
Caveolar-mediated Endocytosis Signaling	1.83E00	5.33E-02	NaN	ALB,CAVIN1,ITGA2B,ITGB5	
Leptin Signaling in Obesity	1.83E00	5.33E-02	NaN	JAK2,PRKAR1B,SOCS3,STAT3	
Role of Tissue Factor in Cancer	1.82E00	4.35E-02	NaN	CFL1,GNA15,JAK2,LIMK2,RALB	
