model	variable	value
C5	train	1
EXTRATREES	train	1
GLM	train	1
GLMNETLasso	train	0.998759920634921
GLMNETRidge	train	0.998759920634921
NNET	train	1
RF	train	1
SVMLin	train	1
LDA	train	1
SVMRAD	train	1
PAM	train	0.895833333333333
KNN	train	0.890625
RPART	train	0.827256944444444
NB	train	0.93452380952381
C5	test	0.945945945945946
EXTRATREES	test	0.951951951951952
GLM	test	0.574324324324324
GLMNETLasso	test	0.905405405405405
GLMNETRidge	test	0.905405405405405
NNET	test	0.825825825825826
RF	test	0.951201201201201
SVMLin	test	0.846846846846847
LDA	test	0.708708708708709
SVMRAD	test	0.917417417417417
PAM	test	0.938438438438438
KNN	test	0.942942942942943
RPART	test	0.793543543543544
NB	test	0.944444444444444
GFS	test	0.934
GFS	train	0.942
